ref_date_raw,start_year,geo,sex,age_group,indicator,value,uom,metric_type,quality_flag,ref_date,dguid,characteristic,uom_id,scalar_factor,scalar_id,vector,coordinate,symbol,terminated,decimals
2021/2022,2021,Newfoundland and Labrador,Females,"Total, 18 years and over","Cannabis use, past 12 months",22.3,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947624,2.1.3.15.4,,,1
2023/2024,2023,Newfoundland and Labrador,Females,"Total, 18 years and over","Cannabis use, past 12 months",21.3,percent,percent,,2023/2024,2021A000210,Percent,239,units,0,v1806947624,2.1.3.15.4,,,1
2019/2020,2019,Newfoundland and Labrador,Females,"Total, 18 years and over",Heavy drinking,17.2,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947652,2.1.3.19.4,,,1
2021/2022,2021,Newfoundland and Labrador,Females,"Total, 18 years and over",Heavy drinking,18.1,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947652,2.1.3.19.4,,,1
2023/2024,2023,Newfoundland and Labrador,Females,"Total, 18 years and over",Heavy drinking,16.5,percent,percent,,2023/2024,2021A000210,Percent,239,units,0,v1806947652,2.1.3.19.4,,,1
2019/2020,2019,Newfoundland and Labrador,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",80.6,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947680,2.1.3.23.4,,,1
2021/2022,2021,Newfoundland and Labrador,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",76.2,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947680,2.1.3.23.4,,,1
2023/2024,2023,Newfoundland and Labrador,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",71.6,percent,percent,,2023/2024,2021A000210,Percent,239,units,0,v1806947680,2.1.3.23.4,,,1
2019/2020,2019,Prince Edward Island,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",63.3,percent,percent,,2019/2020,2021A000211,Percent,239,units,0,v1806964359,8.1.1.3.4,,,1
2021/2022,2021,Prince Edward Island,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",55.8,percent,percent,,2021/2022,2021A000211,Percent,239,units,0,v1806964359,8.1.1.3.4,,,1
