ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2016,2016,Alberta,Females,35 to 49 years,"Main source of stress in day-to-day life, work",21.6,17.9,25.8,percent,percent,
2016,2016,Alberta,Females,50 to 64 years,"Ability to handle the day-to-day demands in life, good or excellent",85.5,81.1,89.0,percent,percent,
2016,2016,Alberta,Females,50 to 64 years,"Ability to handle unexpected and difficult problems, good or excellent",83.9,79.7,87.4,percent,percent,
2016,2016,Alberta,Females,50 to 64 years,"Main source of stress in day-to-day life, family",24.5,20.2,29.4,percent,percent,
2016,2016,Alberta,Females,50 to 64 years,"Main source of stress in day-to-day life, financial concerns",15.7,12.2,20.0,percent,percent,
2016,2016,Alberta,Females,50 to 64 years,"Main source of stress in day-to-day life, health",13.4,10.2,17.5,percent,percent,
2016,2016,Alberta,Females,50 to 64 years,"Main source of stress in day-to-day life, none",8.5,6.3,11.3,percent,percent,
2016,2016,Alberta,Females,50 to 64 years,"Main source of stress in day-to-day life, other",1.7,1.0,2.8,percent,percent,E
2016,2016,Alberta,Females,50 to 64 years,"Main source of stress in day-to-day life, time pressures/ not enough time",10.4,7.5,14.1,percent,percent,E
2016,2016,Alberta,Females,50 to 64 years,"Main source of stress in day-to-day life, work",25.8,21.6,30.5,percent,percent,
2016,2016,Alberta,Females,65 years and over,"Ability to handle the day-to-day demands in life, good or excellent",92.1,89.6,94.1,percent,percent,
2016,2016,Alberta,Females,65 years and over,"Ability to handle unexpected and difficult problems, good or excellent",85.1,81.3,88.2,percent,percent,
2016,2016,Alberta,Females,65 years and over,"Main source of stress in day-to-day life, family",28.1,23.9,32.6,percent,percent,
2016,2016,Alberta,Females,65 years and over,"Main source of stress in day-to-day life, financial concerns",14.3,11.2,18.2,percent,percent,
2016,2016,Alberta,Females,65 years and over,"Main source of stress in day-to-day life, health",17.6,14.7,20.9,percent,percent,
2016,2016,Alberta,Females,65 years and over,"Main source of stress in day-to-day life, none",22.1,18.6,26.0,percent,percent,
2016,2016,Alberta,Females,65 years and over,"Main source of stress in day-to-day life, other",5.4,3.9,7.5,percent,percent,E
2016,2016,Alberta,Females,65 years and over,"Main source of stress in day-to-day life, time pressures/ not enough time",8.9,6.1,12.9,percent,percent,E
2016,2016,Alberta,Females,65 years and over,"Main source of stress in day-to-day life, work",3.6,2.4,5.5,percent,percent,E
2016,2016,Alberta,Females,"Total, 12 years and over","Ability to handle the day-to-day demands in life, good or excellent",87.8,86.1,89.4,percent,percent,
2016,2016,Alberta,Females,"Total, 12 years and over","Ability to handle unexpected and difficult problems, good or excellent",78.4,76.3,80.4,percent,percent,
2016,2016,Alberta,Females,"Total, 12 years and over","Main source of stress in day-to-day life, family",18.5,16.7,20.6,percent,percent,
2016,2016,Alberta,Females,"Total, 12 years and over","Main source of stress in day-to-day life, financial concerns",18.7,16.9,20.7,percent,percent,
2016,2016,Alberta,Females,"Total, 12 years and over","Main source of stress in day-to-day life, health",8.2,7.1,9.5,percent,percent,
2016,2016,Alberta,Females,"Total, 12 years and over","Main source of stress in day-to-day life, none",8.7,7.4,10.2,percent,percent,
2016,2016,Alberta,Females,"Total, 12 years and over","Main source of stress in day-to-day life, other",2.2,1.7,2.8,percent,percent,
