ref_date_raw,start_year,geo,sex,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2021-07,2021,Canada (excluding territories),Men,Good perceived health,29.7,28.1,31.3,percent,percent,
2021-07,2021,Canada (excluding territories),"Total, all persons",Excellent or very good perceived health,55.5,54.2,56.7,percent,percent,
2021-07,2021,Canada (excluding territories),"Total, all persons",Fair or poor perceived health,13.4,12.5,14.3,percent,percent,
2021-07,2021,Canada (excluding territories),"Total, all persons",Good perceived health,31.2,30.0,32.3,percent,percent,
2021-07,2021,Canada (excluding territories),Women,Excellent or very good perceived health,53.4,51.7,55.0,percent,percent,
2021-07,2021,Canada (excluding territories),Women,Fair or poor perceived health,14.0,12.9,15.2,percent,percent,
2021-07,2021,Canada (excluding territories),Women,Good perceived health,32.6,31.0,34.3,percent,percent,
2021-07,2021,Manitoba,Men,Excellent or very good perceived health,62.2,54.7,69.2,percent,percent,
2021-07,2021,Manitoba,Men,Fair or poor perceived health,11.3,7.4,16.9,percent,percent,
2021-07,2021,Manitoba,Men,Good perceived health,26.5,20.5,33.5,percent,percent,
2021-07,2021,Manitoba,"Total, all persons",Excellent or very good perceived health,57.2,52.1,62.2,percent,percent,
2021-07,2021,Manitoba,"Total, all persons",Fair or poor perceived health,12.4,9.5,15.9,percent,percent,
2021-07,2021,Manitoba,"Total, all persons",Good perceived health,30.4,26.1,35.2,percent,percent,
2021-07,2021,Manitoba,Women,Excellent or very good perceived health,52.3,45.2,59.4,percent,percent,
2021-07,2021,Manitoba,Women,Fair or poor perceived health,13.4,9.6,18.4,percent,percent,
2021-07,2021,Manitoba,Women,Good perceived health,34.3,27.9,41.2,percent,percent,
2021-07,2021,New Brunswick,Men,Excellent or very good perceived health,57.0,50.0,63.8,percent,percent,
2021-07,2021,New Brunswick,Men,Fair or poor perceived health,15.0,10.6,20.8,percent,percent,
2021-07,2021,New Brunswick,Men,Good perceived health,28.0,22.0,34.8,percent,percent,
2021-07,2021,New Brunswick,"Total, all persons",Excellent or very good perceived health,51.7,47.1,56.3,percent,percent,
